name,mmsi,imo_number,vessel_type,flag,latitude,longitude,status,speed,course,heading,callsign,destination,eta,length,width,draught
IBAIZABAL DOCE,224014000,IMO224014000,Other,ES,43.34667833333333,-8.519621666666668,underway,3.9,58.50,238,,,,,,
F/V VICTOIRE-CELESTE,228138000,IMO228138000,Fishing,FR,47.72779333333334,-3.363775,underway,,298.50,325,,,,,,
GHIBLI,636014069,IMO636014069,Other,LR,37.694545,-9.171088333333334,underway,2.5,195.90,221,,,,,,
ARTETECA,247333800,IMO247333800,Other,IT,44.30826666666667,8.490065,moored,,164.60,511,,,,,,
TRINITYBORG,244810209,IMO244810209,Other,NL,46.047673333333336,-73.13897666666666,moored,,333.90,64,,,,,,
MSC JIANI,636023100,IMO636023100,Cargo,LR,41.091930000000005,2.151705,underway,15.9,185.60,187,,,,,,
VB SCOTSMAN,235085775,IMO235085775,Other,🇬🇧,50.81147333333333,-1.0913333333333335,moored,,336.40,225,,,,,,
SAN MIKIEL,256958000,IMO256958000,Other,MT,35.817825,14.602235,underway,0.1,165.80,251,,,,,,
ROSTRUM EUROPE,636093288,IMO636093288,Other,LR,51.498671666666674,-8.435898333333334,underway,5.5,51.40,54,,,,,,
SVITZER TYNE,235108271,IMO235108271,Other,GB,54.98620666666667,-1.5127066666666666,moored,0.2,187.00,261,,,,,,
EVGENIA,237296900,IMO237296900,Other,🏳️,37.30780166666667,23.00547,underway,5.8,105.20,511,,,,,,
OFFSHORE PHANTOM,256004860,IMO256004860,Other,🏳️,44.41804166666667,8.797321666666667,underway,,234.90,195,,,,,,
